id,name,parentId
688,Computational neuroscience,661
689,Finite element analysis,661
690,Computational fluid dynamics,661
691,Coronavirus disease 2019,495
692,Engineering,0
693,Chemical engineering,692
694,Biocatalysts,693
695,Bioengineering,693
696,Biochemical engineering,693
697,Biomolecular engineering,693
698,Bionics,693
699,Materials engineering,693
700,Molecular engineering,693
701,Polymer engineering,693
702,Process design,693
703,Petroleum engineering,693
704,Nuclear engineering,693
705,Food engineering,693
706,Process engineering,693
707,Reaction engineering,693
708,Civil engineering,692
709,Agricultural engineering,708
710,Coastal engineering,708
711,Construction,708
712,Earthquake engineering,708
713,Ecological engineering,708
714,Environmental engineering,708
715,Geotechnical engineering,708
716,Engineering geology,708
717,Hydraulic engineering,708
718,Infrastructure engineering,708
719,Mining engineering,708
720,Transportation engineering,708
721,Highway engineering,708
722,Structural engineering,708
723,Architectural engineering,708
724,Structural mechanics,708
725,Surveying,708
726,Electrical engineering,692
727,Control systems engineering,726
728,Control theory,726
729,Instrumentation engineering,726
730,Mechatronics,726
731,Microbotics,726
732,Telecommunications engineering,726
733,Computer engineering,692
734,Electronic engineering,692
735,Power engineering,692
736,Mechanical engineering,692
737,Acoustical engineering,736
738,Automotive engineering,736
739,Biomedical engineering,736
740,Biomechanical engineering,736
741,Fluid mechanics,736
742,Heat transfer,736
743,Industrial engineering,736
744,Manufacturing engineering,736
745,Marine engineering,736
746,Mass transfer,736
747,Nanoengineering,736
748,Ocean engineering,736
749,Optical engineering,736
750,Thermal engineering,736
751,Materials engineering,692
752,Biomaterials,751
753,Ceramic engineering,751
754,Corrosion engineering,751
755,Crystallography,751
756,Nanomaterials,751
757,Physical metallurgy,751
758,Polymer engineering,751
759,Semiconductor engineering,751
760,Humanities and social science,0
761,Linguistics and languages,760
762,Applied linguistics,761
763,Computational linguistics,761
764,Discourse analysis,761
765,Etymology,761
766,Grammar,761
767,Historical linguistics,761
768,History of linguistics,761
769,Interlinguistics,761
770,Lexicology,761
771,Linguistic typology,761
772,Natural language processing,761
773,Philology,761
774,Phonetics,761
775,Phonology,761
776,Pragmatics,761
777,Psycholinguistics,761
778,Semantics,761
779,Semiotics,761
780,Sociolinguistics,761
781,Composition studies,761
782,Battery science,12
783,Neurology,443
784,Neurology,443
785,Neurology,443
786,Alzheimer's disease,785
